,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
50,51,002642,荣联科技,9.47,1.83,0.17,0.11,10.03,1.08,4.62,5.64亿,6.05亿,57.28亿,347.21
51,52,603636,南威软件,17.02,1.79,0.3,-0.06,2.8,0.8,3.77,2.78亿,5.91亿,100.55亿,--
52,53,300252,金信诺,8.43,1.69,0.14,-0.24,1.45,0.99,2.05,0.53亿,4.42亿,37.29亿,98.09
53,54,300397,天和防务,10.8,1.5,0.16,0.0,1.79,0.73,2.54,0.77亿,4.01亿,43.26亿,--
54,55,300609,汇纳科技,19.76,1.23,0.24,-0.05,3.67,0.95,4.66,0.68亿,0.95亿,18.78亿,--
55,56,688316,青云科技,41.14,1.11,0.45,-0.1,5.11,0.61,4.52,0.73亿,0.35亿,14.40亿,--
56,57,300560,中富通,16.12,1.0,0.16,-0.12,4.2,1.17,3.7,1.15亿,1.71亿,27.53亿,137.14
57,58,000815,美利云,15.59,0.97,0.15,0.06,3.94,0.56,3.3,4.26亿,6.95亿,108.39亿,--
58,59,301085,亚康股份,38.96,0.93,0.36,0.13,9.83,0.66,3.42,1.21亿,0.32亿,12.40亿,40.44
59,60,003007,直真科技,30.49,0.89,0.27,-0.16,8.51,0.6,2.65,0.96亿,0.37亿,11.25亿,--
60,61,600804,ST鹏博士,3.5,0.86,0.03,0.29,1.28,1.36,2.02,0.62亿,13.93亿,48.74亿,96.33
61,62,835305,云创数据,11.87,0.59,0.07,0.25,1.07,0.59,1.95,0.08亿,0.64亿,7.60亿,33.29
62,63,300167,迪威迅,5.71,0.53,0.03,-0.18,2.5,0.6,2.46,0.44亿,3.11亿,17.75亿,--
63,64,300300,海峡创新,4.74,0.0,0.0,-0.21,2.15,1.31,2.74,0.69亿,6.71亿,31.82亿,--
64,65,002354,天娱数科,6.85,-0.15,-0.01,0.15,24.62,1.04,6.56,25.04亿,14.69亿,100.61亿,--
65,66,688385,复旦微电,69.2,-0.16,-0.11,-0.07,1.89,1.05,3.9,3.92亿,2.99亿,207.02亿,49.33
66,67,003005,竞业达,43.8,-0.16,-0.07,-0.09,5.33,0.7,2.28,1.19亿,0.51亿,22.36亿,210.55
67,68,600405,动力源,7.07,-0.28,-0.02,-0.14,6.41,0.89,2.82,2.51亿,5.53亿,39.12亿,547.62
68,69,002822,中装建设,5.05,-0.4,-0.02,0.0,1.21,0.56,1.18,0.40亿,6.51亿,32.87亿,--
69,70,002881,美格智能,34.94,-0.46,-0.16,0.0,1.09,1.0,1.97,0.62亿,1.61亿,56.27亿,51.30
70,71,300157,恒泰艾普,3.89,-0.51,-0.02,-0.26,4.09,1.69,6.39,1.13亿,6.98亿,27.15亿,--
71,72,600636,国新文化,10.67,-0.84,-0.09,0.0,1.51,0.61,2.14,0.71亿,4.40亿,47.00亿,50.62
72,73,300799,左江科技,132.3,-0.9,-1.2,-0.12,0.76,0.85,2.62,0.68亿,0.67亿,88.49亿,--
73,74,300605,恒锋信息,16.05,-1.47,-0.24,-0.12,11.13,1.2,3.5,2.00亿,1.13亿,18.08亿,37.95
74,75,002528,英飞拓,10.71,-1.92,-0.21,-0.19,4.57,0.6,2.75,5.12亿,10.46亿,112.07亿,--
