date,code,name,value
2023-02-13 09:22:07,SH601360,三六零,1982.0
2023-02-13 09:22:07,SZ000821,京山轻机,1648.0
2023-02-13 09:22:07,SZ002167,东方锆业,1584.0
2023-02-13 09:22:07,SZ300340,科恒股份,1550.0
2023-02-13 09:22:07,SZ002951,金时科技,1446.0
2023-02-13 09:22:07,SZ300418,昆仑万维,1292.0
2023-02-13 09:22:07,SH603200,上海洗霸,1286.0
2023-02-13 09:22:07,SH601890,亚星锚链,1238.0
2023-02-13 09:22:07,SZ000584,哈工智能,1220.0
2023-02-13 09:22:07,SZ002380,科远智慧,1173.0
2023-02-13 09:22:07,SZ000629,钒钛股份,1169.0
2023-02-13 09:22:07,SZ300473,德尔股份,1152.0
2023-02-13 09:22:07,SZ002649,博彦科技,1152.0
2023-02-13 09:22:07,SZ002792,通宇通讯,1133.0
2023-02-13 09:22:07,SH600884,杉杉股份,1119.0
2023-02-13 09:22:07,SH688787,海天瑞声,1076.0
2023-02-13 09:22:07,SH600276,恒瑞医药,1066.0
2023-02-13 09:22:07,SZ300585,奥联电子,1039.0
2023-02-13 09:22:07,SZ002594,比亚迪,1039.0
2023-02-13 09:22:07,SH601059,信达证券,1019.0
2023-02-13 09:22:07,SZ300229,拓尔思,1016.0
2023-02-13 09:22:07,SZ003035,南网能源,987.0
2023-02-13 09:22:07,SZ300895,铜牛信息,948.0
2023-02-13 09:22:07,SH601858,中国科传,937.0
2023-02-13 09:22:07,SZ002371,北方华创,936.0
2023-02-13 09:22:07,SZ300716,国立科技,934.0
2023-02-13 09:22:07,SZ002241,歌尔股份,907.0
2023-02-13 09:22:07,SZ002328,新朋股份,876.0
2023-02-13 09:22:07,SZ002877,智能自控,875.0
2023-02-13 09:22:07,SH600519,贵州茅台,863.0
2023-02-13 09:22:07,SZ300750,宁德时代,838.0
2023-02-13 09:22:07,SZ300474,景嘉微,800.0
2023-02-13 09:22:07,SH600354,敦煌种业,795.0
2023-02-13 09:22:07,SH600036,招商银行,788.0
2023-02-13 09:22:07,SZ000651,格力电器,775.0
2023-02-13 09:22:07,SZ002660,茂硕电源,744.0
2023-02-13 09:22:07,SZ300449,汉邦高科,738.0
2023-02-13 09:22:07,SZ000070,特发信息,738.0
2023-02-13 09:22:07,SH688027,国盾量子,734.0
2023-02-13 09:22:07,SZ300198,纳川股份,716.0
2023-02-13 09:22:07,SZ300501,海顺新材,707.0
2023-02-13 09:22:07,SH601919,中远海控,704.0
2023-02-13 09:22:07,SZ300502,新易盛,686.0
2023-02-13 09:22:07,SH601155,新城控股,674.0
2023-02-13 09:22:07,SZ002659,凯文教育,671.0
2023-02-13 09:22:07,SH601318,中国平安,662.0
2023-02-13 09:22:07,SH601012,隆基绿能,657.0
2023-02-13 09:22:07,SZ002547,春兴精工,636.0
2023-02-13 09:22:07,SH601899,紫金矿业,636.0
2023-02-13 09:22:07,SZ002729,好利科技,635.0
2023-02-13 09:22:07,SH603083,剑桥科技,631.0
2023-02-13 09:22:07,SZ002808,恒久科技,628.0
2023-02-13 09:22:07,SH601127,赛力斯,617.0
2023-02-13 09:22:07,SZ300130,新国都,585.0
2023-02-13 09:22:07,SZ300047,天源迪科,571.0
2023-02-13 09:22:07,SZ000536,华映科技,568.0
2023-02-13 09:22:07,SZ000539,粤电力A,567.0
2023-02-13 09:22:07,SZ300142,沃森生物,561.0
2023-02-13 09:22:07,SZ000516,国际医学,561.0
2023-02-13 09:22:07,SZ000721,西安饮食,552.0
2023-02-13 09:22:07,SH600313,农发种业,552.0
2023-02-13 09:22:07,SH600900,长江电力,544.0
2023-02-13 09:22:07,SH600887,伊利股份,544.0
2023-02-13 09:22:07,SH600996,贵广网络,529.0
2023-02-13 09:22:07,SZ002415,海康威视,525.0
2023-02-13 09:22:07,SZ300044,赛为智能,512.0
2023-02-13 09:22:07,SZ002261,拓维信息,508.0
2023-02-13 09:22:07,SZ301358,C裕能,503.0
2023-02-13 09:22:07,SZ300135,宝利国际,495.0
